Date,Benchmark,,,G20,,,G40,,,G60,,,G80,,,G100,,
01/02/2019,"114,1662416","214,1662416","1,430022512","357,4770917","457,4770917","2,781609562","359,3777684","459,3777684","2,070853569","331,5777507","431,5777507","1,729508959","338,4399023","438,4399023","1,49690711","351,6322475","451,6322475","1,064682047"
08/02/2019,"113,2947912","213,2947912","-0,4069037181","355,4005419","455,4005419","-0,4539133954","359,6720517","459,6720517","0,06406128469","331,6492061","431,6492061","0,01655678493","337,1792105","437,1792105","-0,2875403889","350,3729205","450,3729205","-0,2788390348"
15/02/2019,"118,3082378","218,3082378","2,350477746","367,3047113","467,3047113","2,613999832","368,5473385","468,5473385","1,930786692","341,0380083","441,0380083","2,175100074","349,282257","449,282257","2,768440541","362,7769064","462,7769064","2,754158906"
22/02/2019,"120,5667843","220,5667843","1,034567693","371,8819384","471,8819384","0,9794951751","370,6138967","470,6138967","0,4410564377","343,7239213","443,7239213","0,6089980794","352,5974962","452,5974962","0,7378967561","366,019403","466,019403","0,7006608487"
01/03/2019,"121,7247026","221,7247026","0,5249740135","378,8425904","478,8425904","1,47508337","375,2525838","475,2525838","0,9856672598","344,7814249","444,7814249","0,2383246765","352,6870323","452,6870323","0,01978272102","366,6741063","466,6741063","0,1404884208"
08/03/2019,"117,1507605","217,1507605","-2,062892428","374,685376","474,685376","-0,8681797491","373,2413032","473,2413032","-0,4232024546","341,5256512","441,5256512","-0,7319940802","346,8174572","446,8174572","-1,29660774","361,9869982","461,9869982","-1,004364295"
15/03/2019,"123,3548581","223,3548581","2,857046223","382,3985221","482,3985221","1,624896508","381,2354736","481,2354736","1,689237678","349,1984969","449,1984969","1,737802929","355,4806618","455,4806618","1,938868874","371,2328559","471,2328559","2,001324223"
22/03/2019,"121,9536416","221,9536416","-0,6273499094","381,1505705","481,1505705","-0,258697227","379,3660212","479,3660212","-0,3884693674","345,723019","445,723019","-0,7737064848","353,0755933","453,0755933","-0,5280286743","368,6341752","468,6341752","-0,5514642427"
29/03/2019,"123,6669407","223,6669407","0,7719175444","387,2023712","487,2023712","1,257776894","384,665266","484,665266","1,105469425","350,1983824","450,1983824","1,004068269","357,5259468","457,5259468","0,9822540799","373,0962849","473,0962849","0,952152006"
05/04/2019,"128,2490651","228,2490651","2,048637311","397,769904","497,769904","2,169023269","395,4115353","495,4115353","2,217255919","362,0726203","462,0726203","2,637556767","371,6075587","471,6075587","3,077773402","386,767885","486,767885","2,889813456"
12/04/2019,"129,3948741","229,3948741","0,5019994275","393,6716405","493,6716405","-0,8233248871","395,552227","495,552227","0,02839895521","362,9363887","462,9363887","0,1869334737","371,5216528","471,5216528","-0,01821554774","387,1243423","487,1243423","0,07322942022"
19/04/2019,"129,5876843","229,5876843","0,08405166016","398,254072","498,254072","0,9282347058","399,2241208","499,2241208","0,7409700936","364,1334607","464,1334607","0,2585823947","375,3268039","475,3268039","0,8069939265","389,9806777","489,9806777","0,5863667963"
26/04/2019,"131,1243784","231,1243784","0,669327758","405,4433893","505,4433893","1,442901866","403,1016116","503,1016116","0,7767034161","367,0792644","467,0792644","0,634688931","376,9870594","476,9870594","0,3492871612","391,3319705","491,3319705","0,2757849159"
03/05/2019,"131,7057182","231,7057182","0,2515268203","402,6321528","502,6321528","-0,5561921591","401,20774","501,20774","-0,3764391837","363,1339804","463,1339804","-0,8446711941","371,6902958","471,6902958","-1,110462746","386,2537379","486,2537379","-1,033564454"
10/05/2019,"126,4963293","226,4963293","-2,248278092","393,0061823","493,0061823","-1,915112363","390,3682712","490,3682712","-2,162669874","351,2296131","451,2296131","-2,570393839","358,4046445","458,4046445","-2,816604755","372,8596176","472,8596176","-2,754553694"
17/05/2019,"125,7253634","225,7253634","-0,3403878122","387,7347797","487,7347797","-1,069236612","388,5706415","488,5706415","-0,3665876864","350,8876944","450,8876944","-0,07577488048","357,8528979","457,8528979","-0,1203623494","373,5919742","473,5919742","0,1548782287"
24/05/2019,"123,6175221","223,6175221","-0,9338079108","383,3425498","483,3425498","-0,9005365381","384,0729469","484,0729469","-0,9205822491","345,6658184","445,6658184","-1,158132294","351,5516299","451,5516299","-1,376264741","367,1180314","467,1180314","-1,366987439"
31/05/2019,"118,5331882","218,5331882","-2,273674197","374,4705911","474,4705911","-1,835542661","377,2925593","477,2925593","-1,400695421","340,8193203","440,8193203","-1,087473596","346,495596","446,495596","-1,119702281","361,6380662","461,6380662","-1,173143581"
07/06/2019,"127,2494601","227,2494601","3,988534635","384,9686056","484,9686056","2,21257433","387,6048788","487,6048788","2,160586688","350,799497","450,799497","2,26400619","355,6408413","455,6408413","2,048227436","371,8442148","471,8442148","2,210855072"
14/06/2019,"127,7871266","227,7871266","0,2365974818","387,3843907","487,3843907","0,4981322651","390,5703598","490,5703598","0,608172955","355,2347998","455,2347998","0,9838748334","361,1237506","461,1237506","1,203340176","377,2680353","477,2680353","1,149493907"
21/06/2019,"132,8913964","232,8913964","2,240806966","392,8996437","492,8996437","1,131602305","396,2924981","496,2924981","1,166425608","363,031681","463,031681","1,712716428","369,1171424","469,1171424","1,73345914","385,1508752","485,1508752","1,651658883"
28/06/2019,"133,033058","233,033058","0,06082732217","403,0472882","503,0472882","2,058764828","402,9751947","502,9751947","1,346523799","368,5985108","468,5985108","1,202256785","373,5203336","473,5203336","0,9386123","388,5666627","488,5666627","0,7040670593"
05/07/2019,"136,0174734","236,0174734","1,280683275","409,0950342","509,0950342","1,202222165","410,1701817","510,1701817","1,430485455","375,4260823","475,4260823","1,457019462","381,719117","481,719117","1,731453291","397,4552524","497,4552524","1,819319732"
12/07/2019,"136,8470957","236,8470957","0,3515088472","406,2410806","506,2410806","-0,5605934861","405,8053349","505,8053349","-0,85556682","373,0874017","473,0874017","-0,4919125574","380,8825745","480,8825745","-0,1736577334","396,8566613","496,8566613","-0,1203306422"
19/07/2019,"134,9434118","234,9434118","-0,8037607108","418,6536203","518,6536203","2,451902893","415,0162815","515,0162815","1,821045759","379,883838","479,883838","1,436613251","384,8936559","484,8936559","0,834108286","399,0912811","499,0912811","0,449751402"
26/07/2019,"137,2407738","237,2407738","0,9778363149","420,9190819","520,9190819","0,4367966426","417,5201361","517,5201361","0,4861699892","383,7771753","483,7771753","0,8113082775","389,8861855","489,8861855","1,029613306","402,4042347","502,4042347","0,66379713"
02/08/2019,"130,2645532","230,2645532","-2,940565607","404,6058155","504,6058155","-3,131631566","393,4800928","493,4800928","-4,645238247","366,9059088","466,9059088","-3,4874044","371,3885812","471,3885812","-3,775898331","385,6456694","485,6456694","-3,335673576"
09/08/2019,"128,8658699","228,8658699","-0,6074244952","389,9464818","489,9464818","-2,905105976","380,2573068","480,2573068","-2,679497348","356,0779457","456,0779457","-2,319088899","359,538685","459,538685","-2,513827588","373,9921765","473,9921765","-2,399587525"
16/08/2019,"126,2009163","226,2009163","-1,16441722","381,8921224","481,8921224","-1,643926367","372,0353162","472,0353162","-1,711996982","347,0960689","447,0960689","-1,969373193","349,4526477","449,4526477","-2,194817897","363,8399382","463,8399382","-2,141857778"
23/08/2019,"124,7786938","224,7786938","-0,6287430322","376,0516247","476,0516247","-1,211992774","371,0699134","471,0699134","-0,2045191889","346,6385348","446,6385348","-0,1023346282","350,7315468","450,7315468","0,2845459041","365,3859866","465,3859866","0,3333150668"
30/08/2019,"129,595161","229,595161","2,142759671","380,2791079","480,2791079","0,8880304111","380,8221694","480,8221694","2,070235378","357,0168182","457,0168182","2,323642631","362,2883076","462,2883076","2,564000874","377,8839142","477,8839142","2,685497192"
06/09/2019,"134,0517308","234,0517308","1,941055631","390,9232055","490,9232055","2,21623165","389,8883119","489,8883119","1,885550018","366,2728276","466,2728276","2,025310455","373,5748756","473,5748756","2,441456514","389,2250346","489,2250346","2,373195678"
13/09/2019,"137,0490877","237,0490877","1,280638639","397,7523312","497,7523312","1,391078202","397,5454884","497,5454884","1,563045354","375,2409868","475,2409868","1,923371612","384,5027113","484,5027113","2,307520154","401,1267749","501,1267749","2,432774175"
20/09/2019,"136,1963128","236,1963128","-0,3597461219","391,8396719","491,8396719","-1,187871745","392,4674868","492,4674868","-1,020610521","372,9308014","472,9308014","-0,4861081986","381,9834165","481,9834165","-0,5199753771","398,4196191","498,4196191","-0,5402137614"
27/09/2019,"134,1034354","234,1034354","-0,8860753901","385,2120133","485,2120133","-1,347524199","387,9061699","487,9061699","-0,9262168615","368,3991707","468,3991707","-0,958201641","375,9697557","475,9697557","-1,247690396","393,8379785","493,8379785","-0,9192335984"
04/10/2019,"131,8359493","231,8359493","-0,9685830095","377,4603345","477,4603345","-1,597585919","377,636634","477,636634","-2,104817798","358,5098745","458,5098745","-2,111296693","363,8527959","463,8527959","-2,545741542","381,3304947","481,3304947","-2,532709987"
11/10/2019,"134,6807256","234,6807256","1,227064357","382,8454914","482,8454914","1,127875241","388,0492204","488,0492204","2,180022565","367,0712225","467,0712225","1,867211259","374,7003951","474,7003951","2,338586572","392,0021353","492,0021353","2,217112923"
18/10/2019,"136,4279227","236,4279227","0,7444996156","372,0296374","472,0296374","-2,240023816","380,206113","480,206113","-1,607032052","361,8206449","461,8206449","-1,12414924","372,0757144","472,0757144","-0,5529131063","390,7360531","490,7360531","-0,2573326637"
25/10/2019,"139,4172273","239,4172273","1,26436191","387,3386176","487,3386176","3,243224363","392,2560888","492,2560888","2,509334112","372,9665828","472,9665828","2,413477618","383,6838771","483,6838771","2,458962058","402,2458439","502,2458439","2,345413737"
01/11/2019,"142,6429363","242,6429363","1,347316998","395,8171471","495,8171471","1,739761471","397,8938","497,8938","1,145280135","376,5559452","476,5559452","0,7589040179","386,3516893","486,3516893","0,551561118","404,8456855","504,8456855","0,5176432282"
08/11/2019,"144,585622","244,585622","0,8006355881","403,4246519","503,4246519","1,53433677","405,6475575","505,6475575","1,557311519","382,2986183","482,2986183","1,205036504","395,2582892","495,2582892","1,831308515","414,904959","514,904959","1,992544215"
15/11/2019,"146,2604829","246,2604829","0,6847748802","403,8256856","503,8256856","0,07966111681","403,9211466","503,9211466","-0,341425737","383,062934","483,062934","0,1584735413","395,5008177","495,5008177","0,04897010414","414,154142","514,154142","-0,1458166186"
22/11/2019,"145,3774566","245,3774566","-0,3585740959","404,2322219","504,2322219","0,08068987184","401,7606456","501,7606456","-0,4287379116","379,513294","479,513294","-0,7348193683","391,0278889","491,0278889","-0,9027086617","409,4919857","509,4919857","-0,9067623732"
29/11/2019,"147,4607702","247,4607702","0,8490240419","412,6704737","512,6704737","1,673485238","410,5012258","510,5012258","1,741982014","386,7195589","486,7195589","1,502829012","397,5989616","497,5989616","1,338228001","415,6976029","515,6976029","1,218000945"
06/12/2019,"148,0009372","248,0009372","0,2182838919","416,1508175","516,1508175","0,678865661","412,3845223","512,3845223","0,3689112591","387,3156331","487,3156331","0,1224676899","397,239278","497,239278","-0,07228383252","417,0640296","517,0640296","0,2649666573"
13/12/2019,"150,599356","250,599356","1,047745557","420,8196887","520,8196887","0,9045556147","418,2058618","518,2058618","1,136127117","390,337549","490,337549","0,6201147049","403,9692681","503,9692681","1,353471135","422,3875279","522,3875279","1,029562684"
20/12/2019,"153,9086726","253,9086726","1,320560696","425,6472272","525,6472272","0,926911675","425,7804818","525,7804818","1,461700949","396,9271514","496,9271514","1,343891043","408,6619647","508,6619647","0,9311473729","428,0523358","528,0523358","1,084407188"
27/12/2019,"155,6129684","255,6129684","0,6712239415","428,5705568","528,5705568","0,5561390698","429,9697222","529,9697222","0,7967660545","401,650797","501,650797","0,9505710418","412,8060837","512,8060837","0,8147098245","431,6883482","531,6883482","0,6885704604"
03/01/2020,"155,5153517","255,5153517","-0,03818925957","426,6972781","526,6972781","-0,3544046629","428,2693342","528,2693342","-0,3208462538","399,354252","499,354252","-0,4577975384","411,1139471","511,1139471","-0,3299759215","429,6293543","529,6293543","-0,3872557875"
10/01/2020,"157,1744522","257,1744522","0,6493153891","431,3854428","531,3854428","0,8901061188","431,8696737","531,8696737","0,6815348283","399,6645585","499,6645585","0,06214155557","411,4186965","511,4186965","0,05962455177","430,1479148","530,1479148","0,09791007537"
17/01/2020,"161,3121039","261,3121039","1,608889089","439,9717594","539,9717594","1,615835871","439,0305958","539,0305958","1,346367814","406,8581261","506,8581261","1,439679376","416,6357044","516,6357044","1,02010504","435,4668104","535,4668104","1,003285206"
24/01/2020,"159,1684943","259,1684943","-0,8203254147","427,2016983","527,2016983","-2,36494981","430,2857104","530,2857104","-1,622335628","400,3148957","500,3148957","-1,290939232","408,9769405","508,9769405","-1,482430238","428,3724846","528,3724846","-1,324886186"
31/01/2020,"153,5002872","253,5002872","-2,187074133","414,2898555","514,2898555","-2,449127695","415,1445367","515,1445367","-2,85528601","386,2250801","486,2250801","-2,816189508","392,8185462","492,8185462","-3,174681015","412,2564778","512,2564778","-3,050122266"
